Model,Steel family,r2_score
XGBoost,CMn,0.6973037225993854
XGBoost,IF,0.6515427743631641
XGBoost,HSLA,0.7722402283151981
XGB_no_model_output,CMn,0.6392694643292898
XGB_no_model_output,IF,0.5326642716184327
XGB_no_model_output,HSLA,0.755133304664301
