Model,Steel family,r2_score,Mean Absolute Error,Mean Squared Error
RFRegressor,CMn,0.6973037225993854,0.13713889464054854,0.03921770312060181
RFRegressor,IF,0.6515427743631641,0.20584668641980655,0.07084886775338682
RFRegressor,HSLA,0.773066040592052,0.09788350127934649,0.020249854182833864
RF_no_model_output,CMn,0.6392694643292898,0.15033298734041908,0.0467366932159069
RF_no_model_output,IF,0.5465319506106647,0.2324365551100578,0.09219983257013867
RF_no_model_output,HSLA,0.7589615573130817,0.10050430130095725,0.021508430600697938
