Model,Steel family,r2_score,Mean Absolute Error,Mean Squared Error
common layer,CMn,0.6605299024573678,0.14271793544093883,0.04398216462414169
common layer,IF,0.6323461755238283,0.2065614155115209,0.0747519502335888
common layer,HSLA,0.7810547516739592,0.09825912556172181,0.019537002589623858
common_no_model_output,CMn,0.5665714298136568,0.16038709100722098,0.0561555402515182
common_no_model_output,IF,0.46988610331134484,0.2485470471918374,0.10778358604011336
common_no_model_output,HSLA,0.717406354084442,0.11084352743579921,0.025216499715225143
