Model,Steel family,r2_score,Mean Absolute Error,Mean Squared Error
RFRegressor,CMn,0.7363546546810392,0.13098671619580823,0.03415821618500867
RFRegressor,IF,0.6655231008441108,0.20316225298431353,0.0680063659221002
RFRegressor,HSLA,0.7800756981077155,0.09712953791778067,0.019624365856035563
RF_no_model_output,CMn,0.6607347578705376,0.14395552049327612,0.04395562330409197
RF_no_model_output,IF,0.4981966257860716,0.2428050259789951,0.1020274463613465
RF_no_model_output,HSLA,0.745014701071617,0.10634701872293453,0.022752941585018747
