Model,Steel family,r2_score
RF,CMn,0.7363546546810392
RF,IF,0.6689365357212078
RF,HSLA,0.7800756981077155
RF_no_model_output,CMn,0.6607347578705376
RF_no_model_output,IF,0.5409860482170444
RF_no_model_output,HSLA,0.745014701071617
